pair of verbs,score,label,,
contain;contained,0.78,1,,
creates;creating,0.795,1,,
eating;eat,0.793,1,,
eat;eaten,0.789,1,,
drank;drink,0.785,1,,
carry;carried,0.79,1,,
breaks;breaking,0.783,1,,
go;goes,0.794,1,,
break;breakes,0.759,1,,
melted;melt,0.793,1,,
drinking;drank,0.781,1,,
start;begins,0.754,1,,
takes;taken,0.768,1,,
rising;rise,0.788,1,,
attached;attach,0.757,1,100%,0.75-0.8
built;builds,0.73,1,,
make;made,0.74,1,,
eats;eaten,0.718,1,,
add;added,0.745,1,,
dissolve;dissolved,0.733,1,,
made;makes,0.749,1,,
eating;eaten,0.736,1,,
heated;heating,0.714,1,,
releases;released,0.746,1,,
broken;breaks,0.711,1,,
delivered;deliver,0.722,1,,
brushed;brush,0.743,1,,
brushed;brushes,0.714,1,,
cooled;cooling,0.743,1,,
absorb;absorbed,0.703,1,100%,0.7-0.75
absorbs;absorbed,0.669,1,,
hits;hitting,0.68,1,,
generates;produces,0.655,1,,
heat;heats,0.653,1,,
mixed;mixes,0.653,1,,
broken;break,0.668,1,,
breakes;breaking,0.693,1,,
attaches;attach,0.653,1,,
give;given,0.663,1,,
dissolved;dissolves,0.684,1,,
heating;heat,0.68,1,,
harm;harmed,0.7,1,,
heated;heat,0.687,1,,
pour;poured,0.688,1,,
fall;falls,0.641,1,100%,0.65-0.7
glucose;sugars,0.604,1,,
stuck;stick,0.644,1,,
heating;warming,0.618,1,,
transport;travel,0.611,1,,
generates;creates,0.621,1,,
rubbed;rub,0.623,1,,
put;placed,0.622,1,,
passes;passed,0.623,1,,
grow;planted,0.606,0,,
moved;moves,0.612,1,,
remaining;remains,0.616,1,,
damage;harm,0.618,1,,
increasing;expanding,0.637,1,,
decreases;increasing,0.639,0,86.70%,0.6-0.65
placed;place,0.571,1,,
cooling;cools,0.585,1,,
transported;travel,0.556,1,,
broken;breakes,0.585,1,,
produced;generated,0.584,1,,
glued;attach,0.559,1,,
cooled;cools,0.561,1,,
need;must,0.581,1,,
press;pressed,0.586,1,,
cools;relaxes,0.553,1,,
removed;replaced,0.585,0,,
consume;eat,0.554,1,,
rising;increasing,0.559,1,,
cooling;heating,0.597,0,,
excavated;dig,0.585,1,,
gather;collected,0.506,1,,
make;create,0.527,1,86.70%,0.55-0.6
killed;die,0.548,1,,
sent;shipped,0.502,1,,
weathering;weather,0.528,0,,
cooling;warming,0.517,0,,
heated;heats,0.54,1,,
cooled;cool,0.542,1,,
die;kill,0.539,1,,
heated;burning,0.513,1,,
becomes;undergoes,0.527,1,,
generated;creates,0.531,1,,
die;kills,0.504,1,,
burned;heated,0.509,1,,
consumes;eats,0.538,1,86.70%,0.5-0.55
burn;destroys,0.462,1,,
keep;continue,0.491,0,,
dig;finds,0.459,0,,
brushed;pushed,0.479,0,,
get;find,0.452,0,,
becoming;undergoes,0.456,1,,
warming;heat,0.467,1,,
generates;becomes,0.463,0,,
burned;destroys,0.461,1,,
cools;relax,0.497,1,,
crushed;broken,0.481,1,,
pick;chosen,0.458,1,,
form;becomes,0.484,1,,
make;creates,0.491,1,,
rains;weather,0.478,0,60%,0.45-0.5
rising;growing,0.41,1,,
brushed;touches,0.45,0,,
give;take,0.444,0,,
cooling;heat,0.41,0,,
transported;bring,0.415,0,,
forms;becomes,0.435,1,,
cools;freezes,0.419,0,,
placed;moved,0.404,0,,
blown;brushed,0.429,1,,
sent;transported,0.416,1,,
formed;creating,0.436,1,,
passed;carries,0.402,1,,
obtain;find,0.435,0,,
converts;change,0.422,1,,
add;attach,0.433,1,53.30%,0.4-0.45